xmin,ymin,xmax,ymax,label,score,geometry,image_path
330.09103,342.60925,373.7733,391.73224,Tree,0.79866844,"POLYGON ((373.7732849121094 342.6092529296875, 373.7732849121094 391.73223876953125, 330.0910339355469 391.73223876953125, 330.0910339355469 342.6092529296875, 373.7732849121094 342.6092529296875))",OSBS_029.tif
216.15889,206.55373,248.66386,242.58086,Tree,0.7744266,"POLYGON ((248.6638641357422 206.55372619628906, 248.6638641357422 242.5808563232422, 216.1588897705078 242.5808563232422, 216.1588897705078 206.55372619628906, 248.6638641357422 206.55372619628906))",OSBS_029.tif
325.28906,44.002537,363.44702,82.30446,Tree,0.748021,"POLYGON ((363.447021484375 44.00253677368164, 363.447021484375 82.30445861816406, 325.2890625 82.30445861816406, 325.2890625 44.00253677368164, 363.447021484375 44.00253677368164))",OSBS_029.tif
260.95435,238.58171,296.4422,276.74658,Tree,0.7433483,"POLYGON ((296.44219970703125 238.5817108154297, 296.44219970703125 276.74658203125, 260.954345703125 276.74658203125, 260.954345703125 238.5817108154297, 296.44219970703125 238.5817108154297))",OSBS_029.tif
173.00087,0.0,229.04567,33.81412,Tree,0.7317759,"POLYGON ((229.04566955566406 0, 229.04566955566406 33.81412124633789, 173.00086975097656 33.81412124633789, 173.00086975097656 0, 229.04566955566406 0))",OSBS_029.tif
258.29645,198.20009,291.58887,231.06224,Tree,0.71235204,"POLYGON ((291.5888671875 198.20008850097656, 291.5888671875 231.06224060058594, 258.29644775390625 231.06224060058594, 258.29644775390625 198.20008850097656, 291.5888671875 198.20008850097656))",OSBS_029.tif
97.60774,304.9629,152.77513,363.30695,Tree,0.7089189,"POLYGON ((152.77513122558594 304.962890625, 152.77513122558594 363.30694580078125, 97.60774230957031 363.30694580078125, 97.60774230957031 304.962890625, 152.77513122558594 304.962890625))",OSBS_029.tif
52.437363,72.00106,85.04631,108.672005,Tree,0.69760656,"POLYGON ((85.04631042480469 72.00106048583984, 85.04631042480469 108.67200469970703, 52.43736267089844 108.67200469970703, 52.43736267089844 72.00106048583984, 85.04631042480469 72.00106048583984))",OSBS_029.tif
249.38356,51.004066,277.15393,81.496544,Tree,0.6858654,"POLYGON ((277.1539306640625 51.004066467285156, 277.1539306640625 81.49654388427734, 249.38356018066406 81.49654388427734, 249.38356018066406 51.004066467285156, 277.1539306640625 51.004066467285156))",OSBS_029.tif
292.33447,368.62766,332.7008,400.0,Tree,0.68228096,"POLYGON ((332.7008056640625 368.6276550292969, 332.7008056640625 400, 292.33447265625 400, 292.33447265625 368.6276550292969, 332.7008056640625 368.6276550292969))",OSBS_029.tif
